,station,address,avg_fast,avg_slow,lat,lng,newAddress,volume
0,영등포전력지사,서울특별시 영등포구 경인로 878,68.9512747252747,0.6086703296703299,37.517367,126.910236,"페어필드 바이 메리어트 서울, 경인로, 영등포동, 영등포구, 서울, 07250, 대한민국",3307334
1,명일동 공영주차장,서울특별시 강동구 구천면로 395(명일동),66.71549450549449,0.0,37.551194,127.142924,"CU, 양재대로141길, 명일1동, 강동구, 서울, 05258, 대한민국",3443265
2,송파파크데일1단지 아파트,서울특별시 송파구 마천동 성내천로37길 37,45.055538461538475,33.150483516483575,37.4987866566,127.1581012036,"108, 성내천로35길, 마천1동, 송파구, 서울, 05747, 대한민국",11829
3,송파구청,서울특별시 송파구 신천동 29-5 송파구청 앞,124.70087912087902,0.0,37.5146124,127.1060852,"송파구청, 326, 올림픽로, 잠실6동, 송파구, 서울, 05552, 대한민국",821223
4,송파삼성래미안,서울특별시 송파구 송파동 오금로32길 14,16.10131868131868,21.191208791208783,37.5052524778,127.11780238,"우리은행, 가락로28길, 송파2동, 송파구, 서울, 05645, 대한민국",59305
5,가락2동 주민센터,서울특별시 송파구 가락동 154,202.4321758241761,0.0,37.498714,127.126652,"가락2동사무소, 중대로20길, 가락2동, 송파구, 서울, 05703, 대한민국",184368
6,강동송파지사,서울특별시 강동구 둔촌동 522-9,171.57854945054916,2.751289377289377,37.52386992,127.135443,"한국전력공사 강동송파지사, 양재대로84길, 둔촌1동, 강동구, 서울, 05408, 대한민국",3443265
7,강일리버파크3단지,서울특별시 강동구 강일동 아리수로93길 40,39.387780219780225,48.10527472527472,37.5655159695,127.1751072048,"아리수로93길, 강일동, 강동구, 서울, 05211, 대한민국",109215
8,가락시장,서울특별시 송파구 양재대로 932,75.83997069597065,0.0,37.493241,127.112315,"가락과일시장, 송파대로, 가락1동, 송파구, 서울, 05677, 대한민국",1877391
9,신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102,1.4938901098901105,10.047791208791208,37.5276457671,127.1425454548,"서울한산초등학교, 명일로, 둔촌2동, 강동구, 서울, 05371, 대한민국",45258
10,갤러리아팰리스,서울특별시 송파구 잠실동 40,21.61279120879121,26.334578754578796,37.511529,127.094596,"갤러리아팰리스 B, 올림픽로, 잠실3동, 송파구, 서울, 05553, 대한민국",821223
11,송파꿈에그린(위례24단지),서울특별시 송파구 장지동 516,19.794714285714285,26.50162637362633,37.47592327474,127.1390103411,"2413, 휴먼링 자전거도로, 위례동, 송파구, 서울, 05853, 대한민국",0
12,천호1동 공영주차장,서울특별시 강동구 구천면로 42길 60(천호동),105.46132967032987,0.0,37.545049,127.136282,"천중로27길, 천호1동, 강동구, 서울, 05310, 대한민국",45811
13,레이크팰리스,서울특별시 송파구 잠실동 잠실로 88,15.057241758241753,22.141527472527418,37.5075341602,127.093213298,"110동, 석촌호수로, 잠실3동, 송파구, 서울, 05600, 대한민국",103825
14,리센츠 아파트,서울특별시 송파구 올림픽로 135,38.91742857142853,38.34659340659332,37.513161,127.090312,"242동, 올림픽로, 잠실2동, 송파구, 서울, 05502, 대한민국",821223
15,성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128,28.64057142857141,18.26901098901098,37.5299423276,127.1259823751,"강동구보건소, 성내로3가길, 성내1동, 강동구, 서울, 05396, 대한민국",4671
16,강동헤르셔,서울특별시 강동구 천호동 천호대로 1089,3.7357802197802226,15.680989010989013,37.5366055081,127.1331171805,"이스트센트럴타워, 천호대로167길, 천호3동, 강동구, 서울, 05332, 대한민국",2373554
17,거여4단지 아파트,서울특별시 송파구 거여동 양산로4길 8,2.0112747252747254,21.125054945054956,37.4895863312,127.1433912604,"401, 양산로, 거여2동, 송파구, 서울, 05771, 대한민국",27126
18,거여2동 주민센터,서울특별시 송파구 거여동 195-1,148.237142857143,0.0,37.4935643829,127.146969926,"19, 거마로2길, 거여2동, 송파구, 서울, 05773, 대한민국",25122
19,송파더센트레,"서울특별시 송파구 위례광장로 163 (장지동, 위례22단지)",10.123516483516482,19.17009523809524,37.47935896489,127.1401853902,"2205, 휴먼링 보행자도로, 위례동, 송파구, 서울, 05853, 대한민국",0
20,한국광고문화회관,서울특별시 송파구 신천동 7-11,86.37650549450554,0.0,37.5159069385,127.099593702,"한국광고문화회관, 올림픽로35다길, 잠실6동, 송파구, 서울, 05510, 대한민국",821223
21,삼익가든아파트,서울특별시 강동구 명일동 260-1,0.0,18.816505494505495,37.54588600963,127.1466312646,"상암로, 명일1동, 강동구, 서울, 05296, 대한민국",21764
22,고덕아이파크,서울특별시 강동구 고덕동 동남로79길 26,13.356131868131875,14.963150183150189,37.5591846946,127.1537423213,"고덕주공1단지아파트, 동남로81길, 고덕1동, 강동구, 서울, 05227, 대한민국",345605
23,가락쌍용1차 아파트,서울특별시 송파구 가락동 동남로 193,3.1262747252747247,22.606373626373628,37.4946987694,127.1292251319,"가락쌍용1차아파트, 가락2동, 송파구, 서울, 05826, 대한민국",0
24,송파파인타운6단지 아파트,서울특별시 송파구 충민로6길 14,29.776769230769244,17.807384615384613,37.48056250195,127.1319978941,"604, 충민로6길, 장지동, 송파구, 서울, 05799, 대한민국",80966
25,송파파인타운9단지,서울특별시 송파구 송파대로 8길 17,66.0680659340658,26.434835164835203,37.478239,127.128729,"902, 송파대로10길, 장지동, 송파구, 서울, 05815, 대한민국",1877391
26,풍납2동 주민센터,서울특별시 송파구 풍납동 403-11,inf,0.0,37.528759745,127.116795686,"풍납2동 주민센터, 64, 토성로, 성내1동, 송파구, 서울, 05537, 대한민국",0
