,stat_id,node_id,distance,link
54,KP000524,1230026900.0,0.184466915277469,"[1230061802, 1230061901]"
55,KP000525,1230115200.0,0.1582886235380777,"[1230440301, 1230440401, 1230223300, 1230223600, 1230431800, 1230431900]"
56,KP000526,1230044000.0,0.1242709893934577,"[1230080800, 1230080900, 1230081400, 1230081500, 1230081800, 1230081900]"
57,KP000528,1210027501.0,0.1719345317671108,"[1210018402, 1210018403, 1210018502, 1210018503, 1210164100, 1210164200]"
58,KP000529,1160049100.0,0.0970609547715959,"[1160064101, 1160064201, 1160088800, 1160088900, 1160089000]"
59,KP000530,1180069600.0,0.0634422712998037,"[1180121500, 1180121600]"
60,KP000531,1220156200.0,0.0242689467769946,"[1220339100, 1220339200]"
61,KP000532,1220034000.0,0.1657252874054854,"[1220024802, 1220024803, 1220024902, 1220024903, 1220065200, 1220065300]"
62,KP000578,1050016300.0,0.1604418471934986,"[1050009902, 1050009903, 1050010002, 1050010003, 1050036800, 1050036900]"
63,KP000579,1060035300.0,0.0433077701113162,"[1060061600, 1060061700]"
64,KP000580,1060035200.0,0.0709535647221177,"[1060059400, 1060059500, 1060059600, 1060059700, 1060061600, 1060061700]"
65,KP000581,1040029500.0,0.1110334230751947,"[1040040600, 1040040700]"
66,KP000582,1040014600.0,0.1364203010020317,"[1040026200, 1040026300, 1040028900, 1040028300, 1040028400, 1040028800]"
67,KP000583,1030015800.0,0.1383099538131583,"[1030031800, 1030031900, 1030032100, 1030032200, 1030034100, 1030034200]"
68,KP000584,1090018201.0,0.156115154298736,"[1090012501, 1090012502, 1090012601, 1090012602, 1090042300, 1090042400]"
69,KP000585,1090015800.0,0.167284816026087,"[1090011101, 1090011102, 1090011201, 1090011202, 1090030000, 1090030100]"
70,KP000586,1090001500.0,0.1613278656608693,"[1090002501, 1090002600, 1090004101, 1090004201, 1090017100, 1090017200, 1090045200, 1090045300]"
71,KP000587,1090010500.0,0.1384345424703962,"[1090007302, 1090007303, 1090007402, 1090007403, 1090022500, 1090022600]"
72,KP000588,1090012200.0,0.2263448761004194,"[1090009101, 1090009102, 1090009201, 1090009202, 1090024700, 1090024800]"
73,KP000589,1100039000.0,0.0739788652993181,"[1100069500, 1100069600, 1100070300, 1100070400, 1100070500, 1100070600, 1100071100, 1100071200]"
74,KP000590,1100023900.0,0.0644338543927851,"[1090013500, 1090013600, 1100054200, 1100054300]"
75,KP000591,1020013500.0,0.0577550995564417,"[1020006506, 1020006507, 1020006603, 1020006604]"
76,KP000592,1020027100.0,0.080674535709393,"[1020012501, 1020012601, 1020013101, 1020013202, 1020013102, 1020013203]"
77,KP000593,1020015800.0,0.1445140695153869,"[1020031004, 1020031103, 1020031200, 1020031300, 1020031800, 1020031900]"
78,KP000594,1010008900.0,0.173574584951459,"[1010002701, 1010002702, 1010002801, 1010002802]"
79,KP000595,1020033500.0,0.0654471611480121,"[1010051200, 1010051300, 1020021301, 1020021401]"
80,KP000596,1010012900.0,0.0973702741242661,"[1010002803, 1010002802, 1010027700]"
81,KP000597,1070017500.0,0.0787115141778613,"[1070011201, 1070011202, 1070039300]"
82,KP000680,1230186500.0,0.1737012162138341,"[1230428800, 1230428900, 1230432600, 1230432700, 1230433200, 1230433300]"
83,KP000687,1230019800.0,0.1572112169684646,"[1230008701, 1230008800, 1230009300, 1230009401, 1230010700, 1230010800, 1230053700, 1230053800]"
84,KP000688,1230018700.0,0.0908861983164676,"[1230008200, 1230009300, 1230009401, 1230009700, 1230009800, 1230007703, 1230007802, 1230008100]"
85,KP000689,1240007300.0,0.1983238780613143,"[1240024900, 1240025000, 1240025300, 1240025400, 1240026100, 1240026200, 1240026700, 1240026800]"
86,KP000690,1230034200.0,0.2340597098228617,"[1230019901, 1230019902, 1230020001, 1230020002, 1230072000, 1230072100]"
87,KP000691,1230021100.0,0.0783975958658353,"[1230055200, 1230055300, 1230055600, 1230055700, 1230056600, 1230056700, 1230058000, 1230058100]"
88,KP000693,1240023800.0,0.1633250491729542,"[1240023901, 1240024001, 1240026501, 1240026502, 1240026601, 1240026602, 1240048500, 1240048600]"
89,KP000694,1240023800.0,0.156316578058467,"[1240023901, 1240024001, 1240026501, 1240026502, 1240026601, 1240026602, 1240048500, 1240048600]"
90,KP000695,1150018001.0,0.1062225373103421,"[1150051001, 1150051002, 1150051101, 1150051102, 1150429700, 1150429800]"
91,KP000696,1150147400.0,0.1366956354524885,"[1150429700, 1150429800, 1150432500, 1150432600, 1150433100, 1150433200]"
92,KP000697,1150017100.0,0.1409641768837946,"[1150042502, 1150046000, 1150049200, 1150049300, 1150042601, 1150045900]"
93,KP000698,1150122400.0,0.0661917341375411,"[1150340400, 1150339700, 1150339900, 1150340600, 1150340700, 1150340800, 1150342100, 1150342200]"
