lat,lng
36.65706534,127.0080662
36.65796647,127.0080663
36.65616415,127.0091846
36.65706528,127.0091847
36.6579664,127.0091848
36.65886753,127.0091848
36.65976866,127.0091849
36.65436181,127.0103028
36.65526294,127.0103029
36.65616407,127.010303
36.6570652,127.0103031
36.65796633,127.0103032
36.65886745,127.0103033
36.65976858,127.0103034
36.66066971,127.0103035
36.65436173,127.0114212
36.65526285,127.0114213
36.65616398,127.0114214
36.65706511,127.0114215
36.65796624,127.0114217
36.65886737,127.0114218
36.65976849,127.0114219
36.66066962,127.011422
36.66157075,127.0114221
36.66247187,127.0114222
36.663373,127.0114224
36.65436163,127.0125396
36.65526276,127.0125397
36.65616388,127.0125399
36.65706501,127.01254
36.65796614,127.0125401
36.65886727,127.0125402
36.65976839,127.0125404
36.66066952,127.0125405
36.66157065,127.0125406
36.66247178,127.0125408
36.6633729,127.0125409
36.66427403,127.012541
36.65346039,127.0136579
36.65436152,127.013658
36.65526265,127.0136581
36.65616378,127.0136583
36.6570649,127.0136584
36.65796603,127.0136586
36.65886716,127.0136587
36.65976829,127.0136588
36.66066941,127.013659
36.66157054,127.0136591
36.66247167,127.0136593
36.66337279,127.0136594
36.66427392,127.0136596
36.66517505,127.0136597
36.65255914,127.0147761
36.65346027,127.0147762
36.6543614,127.0147764
36.65526253,127.0147765
36.65616366,127.0147767
36.65706478,127.0147769
36.65796591,127.014777
36.65886704,127.0147772
36.65976817,127.0147773
36.66066929,127.0147775
36.66157042,127.0147776
36.66247155,127.0147778
36.66337267,127.0147779
36.6642738,127.0147781
36.66517493,127.0147782
36.66607605,127.0147784
36.66697718,127.0147786
36.66787831,127.0147787
36.67058169,127.0147792
36.67148281,127.0147793
36.65075676,127.0158941
36.65165788,127.0158943
36.65255901,127.0158945
36.65346014,127.0158946
36.65436127,127.0158948
36.6552624,127.015895
36.65616353,127.0158951
36.65706465,127.0158953
36.65796578,127.0158955
36.65886691,127.0158956
36.65976804,127.0158958
36.66066916,127.015896
36.66157029,127.0158961
36.66247142,127.0158963
36.66337254,127.0158965
36.66427367,127.0158966
36.6651748,127.0158968
36.66607592,127.015897
36.66697705,127.0158971
36.66787818,127.0158973
36.6687793,127.0158975
36.66968043,127.0158976
36.67058155,127.0158978
36.67148268,127.015898
36.67238381,127.0158981
36.67328493,127.0158983
36.65075662,127.0170125
36.65165774,127.0170126
36.65255887,127.0170128
36.65346,127.017013
36.65436113,127.0170132
36.65526226,127.0170134
36.65616339,127.0170135
36.65706451,127.0170137
36.65796564,127.0170139
36.65886677,127.0170141
36.6597679,127.0170143
36.66066902,127.0170145
36.66157015,127.0170146
36.66247128,127.0170148
36.6633724,127.017015
36.66427353,127.0170152
36.66517466,127.0170154
36.66607578,127.0170155
36.66697691,127.0170157
36.66787804,127.0170159
36.66877916,127.0170161
36.66968029,127.0170163
36.67058141,127.0170164
36.67148254,127.0170166
36.67238367,127.0170168
36.67328479,127.017017
36.67418592,127.0170172
36.65075646,127.0181308
36.65165759,127.018131
36.65255872,127.0181312
36.65345985,127.0181314
36.65436098,127.0181316
36.65526211,127.0181318
36.65616323,127.018132
36.65706436,127.0181322
36.65796549,127.0181324
36.65886662,127.0181326
36.65976774,127.0181327
36.66066887,127.0181329
36.66157,127.0181331
36.66247113,127.0181333
36.66337225,127.0181335
36.66427338,127.0181337
36.66517451,127.0181339
36.66607563,127.0181341
36.66697676,127.0181343
36.66787789,127.0181345
36.66877901,127.0181347
36.66968014,127.0181349
36.67058126,127.0181351
36.67148239,127.0181353
36.67238351,127.0181355
36.67328464,127.0181357
36.67418577,127.0181359
36.67508689,127.018136
36.64985517,127.0192489
36.6507563,127.0192492
36.65165743,127.0192494
36.65255856,127.0192496
36.65345969,127.0192498
36.65436082,127.01925
36.65526194,127.0192502
36.65616307,127.0192504
36.6570642,127.0192506
36.65796533,127.0192508
36.65886646,127.019251
36.65976758,127.0192512
