,stat_id,station,address,lat,lng,household,num_cars,num_rest,traffic,avg_fast,avg_slow,nearby_neighbor
0,KP000296,영등포전력지사,서울특별시 영등포구 경인로 878,37.517367,126.910236,187020,2407,229,20175.0,68.9512747252747,0.6086703296703299,5
1,KP000224,명일동 공영주차장,서울특별시 강동구 구천면로 395(명일동),37.551194,127.142924,201613,1279,244,5086.0,66.71549450549449,0.0,10
2,KP000524,송파파크데일1단지 아파트,서울특별시 송파구 마천동 성내천로37길 37,37.4987866566,127.1581012036,282417,1968,3,9238.0,45.05553846153848,33.150483516483575,5
3,KP000108,송파구청,서울특별시 송파구 신천동 29-5 송파구청 앞,37.5146124,127.1060852,282417,1968,613,22024.0,124.70087912087902,0.0,25
4,KP000690,송파삼성래미안,서울특별시 송파구 송파동 오금로32길 14,37.5052524778,127.11780238,282417,1968,105,5540.0,16.10131868131868,21.191208791208783,9
5,KP003261,가락2동 주민센터,서울특별시 송파구 가락동 154,37.498714,127.126652,282417,1968,99,5131.0,202.4321758241761,0.0,10
6,KP000016,강동송파지사,서울특별시 강동구 둔촌동 522-9,37.52386992,127.135443,201613,1279,153,28309.0,171.57854945054916,2.751289377289377,3
7,KP001800,강일리버파크3단지,서울특별시 강동구 강일동 아리수로93길 40,37.5655159695,127.1751072048,201613,1279,33,7580.0,39.38778021978023,48.10527472527472,10
8,KP000222,가락시장,서울특별시 송파구 양재대로 932,37.493241,127.112315,282417,1968,272,6893.0,75.83997069597065,0.0,5
9,KP002271,신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102,37.5276457671,127.1425454548,201613,1279,53,28309.0,1.4938901098901105,10.047791208791208,7
10,KP002960,갤러리아팰리스,서울특별시 송파구 잠실동 40,37.511529,127.094596,282417,1968,223,6737.0,21.61279120879121,26.3345787545788,5
11,KP002873,송파꿈에그린(위례24단지),서울특별시 송파구 장지동 516,37.47592327474,127.1390103411,282417,1968,108,21116.0,19.794714285714285,26.50162637362633,19
12,KP000225,천호1동 공영주차장,서울특별시 강동구 구천면로 42길 60(천호동),37.545049,127.136282,201613,1279,269,5086.0,105.46132967032987,0.0,3
13,KP000926,레이크팰리스,서울특별시 송파구 잠실동 잠실로 88,37.5075341602,127.093213298,282417,1968,466,16087.0,15.057241758241751,22.14152747252741,8
14,KP001804,리센츠 아파트,서울특별시 송파구 올림픽로 135,37.513161,127.090312,282417,1968,196,6737.0,38.91742857142853,38.34659340659332,6
15,KP001265,성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128,37.5299423276,127.1259823751,201613,1279,269,11163.0,28.64057142857141,18.26901098901098,18
16,KP002345,강동헤르셔,서울특별시 강동구 천호동 천호대로 1089,37.5366055081,127.1331171805,201613,1279,528,8954.0,3.735780219780223,15.680989010989013,19
17,KP001263,거여4단지 아파트,서울특별시 송파구 거여동 양산로4길 8,37.4895863312,127.1433912604,282417,1968,103,9238.0,2.0112747252747254,21.12505494505496,17
18,KP003259,거여2동 주민센터,서울특별시 송파구 거여동 195-1,37.4935643829,127.146969926,282417,1968,285,9238.0,148.237142857143,0.0,12
19,KP003022,송파더센트레,"서울특별시 송파구 위례광장로 163 (장지동, 위례22단지)",37.47935896489,127.1401853902,282417,1968,96,21116.0,10.123516483516482,19.17009523809524,26
20,KP003262,한국광고문화회관,서울특별시 송파구 신천동 7-11,37.5159069385,127.099593702,282417,1968,407,47916.0,86.37650549450554,0.0,18
21,KP003603,삼익가든아파트,서울특별시 강동구 명일동 260-1,37.54588600963,127.1466312646,201613,1279,114,5086.0,0.0,18.81650549450549,10
22,KP000689,고덕아이파크,서울특별시 강동구 고덕동 동남로79길 26,37.5591846946,127.1537423213,201613,1279,65,27327.0,13.356131868131875,14.963150183150187,4
23,KP000687,가락쌍용1차 아파트,서울특별시 송파구 가락동 동남로 193,37.4946987694,127.1292251319,282417,1968,166,5131.0,3.1262747252747247,22.606373626373628,8
24,KP000523,송파파인타운6단지 아파트,서울특별시 송파구 충민로6길 14,37.48056250195,127.1319978941,282417,1968,3,21116.0,29.776769230769244,17.807384615384613,15
25,KP001806,송파파인타운9단지,서울특별시 송파구 송파대로 8길 17,37.478239,127.128729,282417,1968,20,31131.0,66.0680659340658,26.434835164835203,12
26,KP003258,풍납2동 주민센터,서울특별시 송파구 풍납동 403-11,37.528759745,127.116795686,282417,1968,75,21436.0,inf,0.0,10
27,KP000526,잠실롯데캐슬골드 아파트,서울특별시 송파구 신천동 올림픽로 269,37.5144261788,127.100610302,282417,1968,439,47916.0,19.456241758241763,16.987945054945055,22
28,KP001264,거여5단지 아파트,서울특별시 송파구 거여동 양산로4길 16,37.4892095924,127.1449645201,282417,1968,84,9238.0,8.356813186813183,10.47846153846154,18
29,KP000521,고덕리엔파크3단지 아파트,서울특별시 강동구 상일로 74,37.55223512265,127.1752187199,201613,1279,22,7580.0,28.725714285714258,16.46334432234431,3
30,KP002051,홈플러스 강동점,서울특별시 강동구 양재대로 1571,37.54571126255,127.1421724756,201613,1279,286,5086.0,81.64006593406586,0.0,7
31,KP000691,송파성원상떼빌,서울특별시 송파구 가락동 송파대로28길 27,37.4948850029,127.1200929635,282417,1968,470,6893.0,2.9313406593406603,10.988571428571433,16
32,KP003149,위례스타힐스,서울특별시 송파구 장지동 위례광장로 215,37.481504,127.143668,282417,1968,52,21116.0,13.487758241758243,22.77944322344325,21
33,KP000522,더샵스타리버 아파트,서울특별시 송파구 올림픽로35길 93,37.51778342631,127.1046327039,282417,1968,393,12475.0,40.47648351648355,0.0,25
34,KP003680,성내1차이편한세상,서울특별시 강동구 천호대로168길 58,37.53331732998,127.1310838701,201613,1279,369,8954.0,0.0,3.345318681318683,16
35,KP001803,대우한강베네시티 아파트,서울특별시 강동구 올림픽로 664,37.540361,127.124838,201613,1279,565,17807.0,0.0,19.84956043956043,11
36,KP001807,송파파크데일2단지,서울특별시 송파구 마천동 성내천로47길 38,37.4963394415,127.1581638948,282417,1968,4,9238.0,12.648263736263743,21.625934065934043,5
37,KP000680,마천동1공영주차장,서울특별시 송파구 성내천로43길 6,37.49518194689,127.15556452,282417,1968,59,9238.0,10.653054945054937,0.0,5
38,KP002684,송파파인타운5단지,서울특별시 송파구 장지동 충민로4길 5,37.4796153626,127.1297192236,282417,1968,10,21116.0,15.528571428571428,19.22252747252745,13
39,KP001799,GS강동자이 아파트,서울특별시 강동구 천호대로 1239(길동),37.4765488043,127.111607161,201613,1279,0,7381.0,6.70626373626373,21.80681318681317,5
40,KP003260,삼전동 공영주차장,서울특별시 송파구 삼전동 175-8,37.500239,127.095866,282417,1968,216,7957.0,101.35015384615384,0.0,6
41,KP002812,위례 포레샤인 23단지,서울특별시 송파구 장지동 380-1,37.47617081866,127.1353309043,282417,1968,71,21116.0,13.918923076923084,17.042454212454192,13
42,KP000520,강일리버파크7단지 아파트,서울특별시 강동구 아리수로98길 25,37.56505092294,127.178802828,201613,1279,5,7540.0,10.9521978021978,17.63214652014651,10
43,KP002811,강일리버파크5단지,서울특별시 강동구 강일동 아리수로97길 20,37.567726,127.178447,201613,1279,5,2690.0,7.740417582417578,15.473113553113569,6
44,KP003866,문정근린공원 공영주차장,서울특별시 송파구 문정로 지하 12,37.485959583661,127.1236290222,282417,1968,415,16935.0,90.88290109890124,0.0,12
45,KP003605,잠실파크인수,서울특별시 송파구 백제고분로 187,37.50473262281,127.0877404572,282417,1968,323,17433.0,0.0,5.937054945054947,9
46,KP003275,문정래미안아파트,서울특별시 송파구 문정동 문정로 83,37.490893,127.130226,282417,1968,123,16935.0,27.768395604395604,25.70453479853477,10
47,KP000226,현대백화점 천호점,서울특별시 강동구 천호대로 1005,37.53887464166,127.1244744264,201613,1279,607,22324.0,42.40775824175819,0.0,10
48,KP001262,거여1단지 아파트,서울특별시 송파구 거여동 양산로8길 8,37.4909147866,127.1445652655,282417,1968,139,9238.0,12.546197802197796,13.767527472527476,15
49,KP001267,잠실한양3차 아파트,서울특별시 송파구 방이동 양재대로 1089,37.5058495904,127.1224810673,282417,1968,241,14042.0,0.0,4.369230769230767,16
50,KP001266,송파와이즈더샵,서울특별시 송파구 장지동 위례광장로 270,37.4771052523,127.1436523086,282417,1968,93,21116.0,0.0,14.364285714285703,23
51,PWE00564,둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172,37.53414,127.14507,201613,1279,109,28309.0,11.496527472527468,9.702783882783882,6
52,KP003896,성내동중앙하이츠,"서울특별시 강동구 양재대로95길 53 (성내동, 중앙하이츠아파트)",37.53051922418,127.1335396726,201613,1279,328,8954.0,0.0,7.381296703296707,11
53,KP000925,강일리버파크 6단지,서울특별시 강동구 강일동 아리수로94길 19,37.5627340873,127.1772602489,201613,1279,3,7580.0,8.578109890109893,0.0,13
54,KP003770,송파공영주차장,서울특별시 송파구 백제고분로44길 13-25,37.507026462481,127.1132924712,282417,1968,244,5540.0,0.6699999999999999,0.0,4
55,KP000927,송파파인타운10단지,서울특별시 송파구 장지동 송파대로8길 20,37.4781324844,127.1311863959,282417,1968,1,21116.0,11.042549450549451,7.028714285714287,15
56,NT100009,송파파인타운1단지아파트,서울특별시 송파구 장지동 833,37.4863182,127.1341958,282417,1968,31,21116.0,0.0,10.345384615384628,7
57,KP002347,한강극동아파트,서울특별시 송파구 풍납동 토성로 38-6,37.5294607024,127.1140527139,282417,1968,105,43333.0,29.20501098901097,26.835604395604403,9
58,KP001808,암펠로스타워,서울특별시 강동구 둔촌동 명일로 110,37.5288091079,127.1431676374,201613,1279,66,28309.0,0.0,11.154725274725278,8
59,KP001802,길동삼익파크,서울특별시 강동구 길동 명일로 293,37.5447060359,127.1463619029,201613,1279,108,5086.0,12.96380219780221,16.163626373626364,9
60,KP001801,고덕리엔파크1단지,서울특별시 강동구 상일로 152,37.561757,127.172139,201613,1279,42,7580.0,0.0,16.677032967032964,7
61,KP001268,풍납쌍용,서울특별시 송파구 풍납동 올림픽로47길 9,37.5274169167,127.1180408617,282417,1968,59,21436.0,1.9552527472527472,13.109010989010995,11
62,KP003181,명일한양아파트,서울특별시 강동구 명일동 동남로71길 19,37.550839,127.155315,201613,1279,111,5086.0,35.30551648351646,0.0,9
63,KP003769,강동보건소,서울특별시 강동구 성내동 541-2,37.529539325201,127.1253752982,201613,1279,292,11163.0,3.179120879120879,0.0,17
64,KP000525,위례송파푸르지오 아파트,서울특별시 송파구 장지동 위례광장로 185,37.4802093902,127.1397599524,282417,1968,97,21116.0,5.103604395604395,0.0,25
65,KP003247,강일리버파크11단지,서울특별시 강동구 강일동 고덕로97길 100,37.562856,127.17973,201613,1279,3,7540.0,0.0,1.7270769230769225,8
66,KP002346,강일리버파크10단지,서울특별시 강동구 강일동 고덕로97길 20,37.5592088582,127.1799953539,201613,1279,0,7580.0,3.2662417582417587,0.0,7
67,KP000694,한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41,37.5560114394,127.131304691,201613,1279,105,695.0,2.8130989010989005,4.68153846153846,6
68,KP000693,암사라인 아파트,서울특별시 강동구 암사동 고덕로 53,37.5549808769,127.1311444412,201613,1279,159,695.0,0.0,0.0037362637362637,7
69,SF002106,송파현대힐스테이트,서울특별시 송파구 풍납동 풍성로26길 31,37.530849827,127.11830456,282417,1968,91,15974.0,0.0,11.405714285714284,16
70,KP002270,경보그레이스 힐,서울특별시 강동구 성내동 풍성로53길 40,37.5311320576,127.1353837592,201613,1279,309,28309.0,0.0,1.4758351648351644,8
71,KP003604,쌍용스윗닷홈 거여1차 아파트,서울특별시 송파구 오금로62길 10,37.49182576795,127.1467064418,282417,1968,157,9238.0,0.0,2.1710769230769227,16
72,KP000688,가락우성2차 아파트,서울특별시 송파구 가락동 중대로12길 35,37.4920142127,127.1254708566,282417,1968,177,16935.0,0.0,0.0281318681318681,10
73,KP002623,한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30,37.556032,127.133941,201613,1279,84,695.0,0.0,0.0024175824175824,8
74,KP004628,천호유수지,서울특별시 강동구 선사로 70 (천호동),37.544788986,127.12187757,201613,1279,190,52040.0,1.1300549450549449,0.0,8
