,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_fast
235,KP002961,168219,662,155,15698.0,12,2.0308571428571423
236,KP003020,168219,662,9,15243.0,6,26.9728131868132
237,SF001865,185712,757,16,61327.0,4,44.6854285714286
238,KP000579,185712,757,233,11237.0,27,0.4904175824175824
239,KP002429,168219,662,186,4856.0,20,37.0832967032967
240,KP002851,185712,757,0,8341.0,5,7.872197802197801
241,KP003315,168219,662,139,37747.0,9,8.766505494505497
242,KP000789,185712,757,78,12010.0,15,1.2913406593406591
243,KP004154,185712,757,335,67105.0,10,50.42603296703295
244,KP004152,185712,757,289,12010.0,8,61.20123076923072
245,KP004145,185712,757,99,17736.0,12,8.550879120879117
246,KP004814,168219,662,261,8360.0,3,8.043120879120881
247,KP000583,134233,1457,240,14429.0,17,26.115230769230784
248,KP000582,167949,613,218,20573.0,15,13.845472527472532
249,KP000288,167949,613,438,5290.0,7,101.95000000000002
250,KP000290,167949,613,198,25545.0,4,110.67591208791254
251,KP000216,167949,613,271,5540.0,21,209.39454945055
252,KP000792,134233,1457,24,94523.0,21,4.354527472527473
253,KP000581,167949,613,59,14919.0,4,37.50435164835164
254,KP002970,134233,1457,226,12476.0,25,4.790153846153845
255,KP000289,167949,613,85,6798.0,16,43.93695384615378
256,KP003337,134233,1457,110,576.0,19,18.66624175824175
257,SF001653,134233,1457,84,25385.0,21,16.67368131868134
258,KP003006,134233,1457,254,12476.0,30,3.073604395604395
259,KP000791,134233,1457,156,576.0,26,3.819890109890108
260,KP002996,134233,1457,484,31483.0,24,1.3072087912087909
261,KP002539,134233,1457,15,5685.0,1,50.53670329670325
262,KP000793,134233,1457,35,25968.0,12,22.63892307692307
263,ST112004,134233,1457,2,2096.0,3,31.97629560439557
264,KP003021,134233,1457,208,12476.0,30,4.175582417582419
265,KP002228,167949,613,95,6501.0,8,24.07579120879118
266,KP000015,134233,1457,246,4126.0,14,37.33947252747251
267,KP004151,167949,613,189,12268.0,23,11.014732600732613
268,KP004150,134233,1457,573,108962.0,27,6.737670329670328
269,KP004794,134233,1457,495,14429.0,32,2.2407765567765554
270,KP004810,134233,1457,64,8054.0,8,2.542505494505494
271,KP004801,134233,1457,362,22953.0,7,0.0429930069930069
272,KP000805,217378,893,68,11624.0,14,114.11397802197816
273,KP002070,138656,642,202,53080.0,20,66.27503296703297
274,KP001359,217378,893,175,19764.0,4,36.38843956043957
275,KP002540,217378,893,482,10912.0,7,160.68720879120926
276,SF001914,217378,893,14,21557.0,2,14.086542124542143
277,KP000999,138656,642,45,13233.0,11,99.45760439560432
278,KP000211,138656,642,257,19919.0,10,140.63670329670347
279,KP003067,217378,893,0,21557.0,0,19.84604505494506
280,KP000998,138656,642,20,43466.0,17,25.390879120879102
281,KP003131,138656,642,8,42444.0,2,83.05956043956049
282,KP002380,138656,642,29,16557.0,25,6.767230769230768
283,KP003130,138656,642,168,3939.0,18,61.22696703296703
284,KP002967,217378,893,94,53080.0,7,30.598527472527465
285,KP001357,217378,893,671,6751.0,15,3.0981978021978023
286,KP000801,138656,642,52,10320.0,14,3.525824175824176
287,KP001000,217378,893,93,5734.0,2,13.868329670329668
288,SF001349,138656,642,50,53080.0,19,14.913538461538462
289,KP000800,217378,893,117,16189.0,11,5.069604395604396
290,KP000586,138656,642,90,6838.0,11,9.838021978021974
291,KP000995,217378,893,92,18695.0,3,24.11345054945056
292,KP000803,138656,642,165,41527.0,4,8.951120879120879
293,KP000585,138656,642,109,10320.0,9,26.997736263736257
294,PI121532,138656,642,120,53080.0,16,186.7514725274729
295,KP000807,217378,893,19,21906.0,18,4.140417582417583
296,KP003079,138656,642,244,6838.0,12,111.68465934065946
297,KP003232,217378,893,93,53080.0,7,25.9966153846154
298,RE000059,217378,893,100,14709.0,13,2.8873626373626373
299,KP000799,138656,642,57,12681.0,11,14.770043956043976
300,KP000986,217378,893,151,17815.0,11,8.715428571428573
301,KP001355,138656,642,0,25023.0,7,32.787648351648315
302,KP000798,217378,893,251,9205.0,13,7.151978021978022
303,KP000584,138656,642,57,12681.0,6,7.655934065934068
304,KP002682,217378,893,190,17815.0,13,9.032681318681318
305,KP003994,217378,893,185,19764.0,6,8.971725274725275
306,KP000993,217378,893,33,5734.0,5,6.016021978021977
307,KP002674,217378,893,22,21906.0,20,6.891802197802199
308,KP000987,138656,642,247,19919.0,15,0.4707252747252747
309,KP000587,138656,642,112,19919.0,8,2.523472527472528
