,LINK_ID,F_NODE,T_NODE
187,1140281601,1140027500,1140109501
188,1140281201,1140109501,1140026100
189,1140281301,1140109501,1140109601
190,1140282201,1140027000,1140109801
191,1140282501,1140109801,1140028500
192,1150437801,1140029000,1150149801
193,1150437501,1150149801,1140027500
194,1140281501,1140109701,1140109501
195,1140281401,1140109501,1140109701
196,1180133101,1180048400,1180074001
197,1180133301,1180074001,1180069200
198,1180133201,1180074001,1190022000
199,1180133401,1190022300,1180073801
200,1180133001,1180073801,1180074001
201,1180132801,1180074101,1180074001
202,1180132901,1180074001,1180074101
203,1180133501,1180074201,1180074301
204,1180133801,1180074301,1180044400
205,1180133601,1180044400,1180074201
206,1180134101,1180074401,1180043900
207,1180134201,1180043900,1180074401
208,1180134001,1180074401,1180042800
209,1180133901,1180042800,1180074401
210,1180133701,1180074301,1180074401
211,1220345801,1220158901,1220002200
212,1220345701,1220158901,1220047600
213,1020057601,1020041501,1020024700
214,1020057501,1020025100,1020041501
215,1040045101,1040023000,1040030201
216,1040045201,1040030201,1040023000
217,1040045301,1040030201,1040030301
218,1040045401,1040030301,1040030201
219,1040045501,1040030301,1040030401
220,1040045601,1040030401,1040030301
221,1040045901,1040030401,1040030701
222,1040046001,1040030701,1040030401
223,1040047001,1040030801,1040030701
224,1040047101,1040030801,1040020100
225,1040045701,1040030301,1040030501
226,1040045801,1040030501,1040030301
227,1040046101,1040030501,1040030601
228,1040046201,1040030601,1040030501
229,1040046901,1040030701,1040030801
230,1040047201,1040020100,1040030801
231,1040046501,1040030601,1040030801
232,1040046601,1040030801,1040030601
233,1040047701,1040023300,1040031001
234,1040047801,1040031001,1040023300
235,1040047501,1040031101,1040031001
236,1040047601,1040031001,1040031101
237,1040047301,1040031001,1040030901
238,1040047401,1040030901,1040031001
239,1040046701,1040030901,1040030601
240,1040046801,1040030601,1040030901
241,1040046301,1040030601,1040020600
242,1040046401,1040020600,1040030601
243,1040044901,1040030201,1040018900
244,1040045001,1040018900,1040030201
245,1040044001,1040029801,1040019300
246,1040044101,1040029801,1040029901
247,1040043901,1040019300,1040029801
248,1040044201,1040029901,1040029801
249,1040044501,1040029901,1040030101
250,1040044601,1040030101,1040029901
251,1040044701,1040030101,1040018900
252,1040044801,1040018900,1040030101
253,1040044301,1040030001,1040029901
254,1040044401,1040029901,1040030001
255,1110088201,1110013700,1110037601
256,1110088301,1110037601,1110013700
257,1110088401,1110037601,1110037701
258,1110088501,1110037701,1110037601
259,1110088701,1110037701,1110013500
260,1110088601,1110013500,1110037701
261,1110087801,1110037601,1110037501
262,1110087901,1110037501,1110037601
263,1110088001,1110037501,1110037701
264,1110088101,1110037701,1110037501
265,1230438301,1230000800,1230188801
266,1230438401,1230188801,1230000800
267,1230439001,1230188801,1230002500
268,1230438901,1230002500,1230188801
269,1230438701,1230000900,1230188701
270,1230438801,1230188701,1230000900
271,1230438101,1230188701,1230000800
272,1230438201,1230000800,1230188701
273,1230438501,1230188701,1230188801
274,1230438601,1230188801,1230188701
275,1190051401,1190005900,1190029501
276,1190051501,1190029501,1190005900
277,1190051201,1190029501,1190028700
278,1190051301,1190028700,1190029501
279,1190051101,1190029501,1190029401
280,1190051001,1190029401,1190029501
281,1170044701,1170017400,1200030501
282,1200052701,1200030501,1170017400
283,1230439101,1230188901,1230015100
284,1230439201,1230015100,1230188901
285,1230439501,1230188901,1230189101
286,1230439601,1230189101,1230188901
287,1230439701,1230189101,1230189001
288,1230439801,1230189001,1230189101
289,1230439301,1230189001,1230015401
290,1230439401,1230015401,1230189001
291,1230439901,1230189001,1230189401
292,1230440001,1230189401,1230189001
293,1230440501,1230189401,1230189201
294,1230440601,1230189201,1230189401
295,1230440301,1230189201,1230115200
296,1230440401,1230115200,1230189201
297,1230441101,1230189501,1230189401
298,1230441201,1230189401,1230189501
299,1230440101,1230189301,1230189101
300,1230440201,1230189101,1230189301
301,1230440701,1230189301,1230189501
302,1230440801,1230189501,1230189301
303,1230440901,1230189601,1230189301
304,1230441001,1230189301,1230189601
305,1230441701,1230189601,1230189801
306,1230441801,1230189801,1230189601
307,1230442301,1230173800,1230189801
308,1230442401,1230189801,1230173800
309,1230441501,1230189801,1230189501
310,1230441601,1230189501,1230189801
311,1230441401,1230189501,1230189701
312,1230441301,1230189701,1230189501
313,1230442001,1230189701,1230189901
314,1230441901,1230189901,1230189701
315,1230442601,1230189901,1230190001
316,1230442501,1230190001,1230189901
317,1230442201,1230190101,1230189701
318,1230442101,1230189701,1230190101
319,1230442801,1230190101,1230190001
320,1230442701,1230190001,1230190101
321,1220343101,1220158201,1220153800
322,1220343201,1220153800,1220158201
323,1220345101,1220015501,1220158601
324,1220345201,1220158601,1220015501
325,1220344901,1220158601,1220015500
326,1220345001,1220015500,1220158601
327,1220343301,1220153700,1220158601
328,1220343401,1220158601,1220153700
329,1220343501,1220153500,1220158301
330,1220343601,1220158301,1220153500
331,1220343701,1220158301,1220158401
332,1220343801,1220158401,1220158301
333,1220344301,1220158401,1220158701
334,1220344401,1220158701,1220158401
335,1220345501,1220158701,1220015501
336,1220345601,1220015501,1220158701
337,1220344101,1220153600,1220158501
338,1220344201,1220158501,1220153600
339,1230445101,1230003600,1230190801
340,1230445201,1230190801,1230003600
341,1230445301,1230190801,1230018300
342,1220344701,1220158501,1220158801
343,1220344801,1220158801,1220158501
344,1220345301,1220158801,1220158701
345,1220345401,1220158701,1220158801
346,1220343901,1220158501,1220158301
347,1220344001,1220158301,1220158501
348,1220344501,1220158801,1220158401
349,1220344601,1220158401,1220158801
350,1230445401,1230018300,1230190801
351,1230442901,1230190001,1230190201
352,1230443001,1230190201,1230190001
353,1230443501,1230190201,1230187000
354,1230443601,1230187000,1230190201
355,1230444501,1230187000,1230190701
356,1230444601,1230190701,1230187000
357,1230443101,1230190101,1230190401
358,1230443201,1230190401,1230190101
359,1230443701,1230190401,1230190301
360,1230443801,1230190301,1230190401
361,1230443301,1230190301,1230190201
362,1230443401,1230190201,1230190301
363,1230443901,1230190301,1230190501
364,1230444001,1230190501,1230190301
365,1230444301,1230190501,1230187000
366,1230444401,1230187000,1230190501
367,1230444101,1230190401,1230190601
368,1230444201,1230190601,1230190401
369,1230444701,1230190601,1230190501
370,1230444801,1230190501,1230190601
371,1230445001,1230190601,1230190801
372,1230444901,1230190801,1230190601
373,1050061701,1050007601,1050037901
374,1050061801,1050037901,1050007601
375,1190052401,1190005600,1190029801
376,1190052501,1190029801,1190005600
377,1190051801,1190029801,1190026200
378,1190051901,1190026200,1190029801
379,1190052101,1190029801,1190029701
380,1190052001,1190029701,1190029801
381,1190052201,1190029901,1190029701
382,1190052301,1190029701,1190029901
383,1190051601,1190029701,1190029601
384,1190051701,1190029601,1190029701
385,1230448501,1230191201,1230192201
386,1230448601,1230192201,1230191201
387,1230448801,1230192201,1230191301
388,1230448701,1230191301,1230192201
389,1230445701,1230191101,1230191001
390,1230445801,1230191001,1230191101
391,1230445501,1230191001,1230190101
392,1230445601,1230190101,1230191001
393,1230448301,1230191001,1230191201
394,1230448401,1230191201,1230191001
395,1230448901,1230191201,1230191301
396,1230449001,1230191301,1230191201
397,1230445901,1230191101,1230191401
398,1230446001,1230191401,1230191101
399,1230449101,1230191401,1230191301
400,1230449201,1230191301,1230191401
401,1230446101,1230191401,1230191701
402,1230446201,1230191701,1230191401
403,1230446901,1230191701,1230191601
404,1230447001,1230191601,1230191701
405,1230446501,1230191601,1230191501
406,1230446601,1230191501,1230191601
407,1230449301,1230191301,1230191501
408,1230449401,1230191501,1230191301
409,1230446301,1230191501,1230190401
410,1230446401,1230190401,1230191501
411,1230446701,1230191501,1230191801
412,1230446801,1230191801,1230191501
413,1230447601,1230191801,1230191901
414,1230447501,1230191901,1230191801
415,1230447901,1230192001,1230191901
416,1230448001,1230191901,1230192001
417,1230447701,1230191801,1230192001
418,1230447801,1230192001,1230191801
419,1230447101,1230191601,1230192101
420,1230447201,1230192101,1230191601
421,1230447301,1230191701,1230192101
422,1230447401,1230192101,1230191701
423,1230448101,1230192101,1230192001
424,1230448201,1230192001,1230192101
425,1050060501,1030029000,1050037601
426,1050060601,1050037601,1030029000
427,1030068101,1050037601,1030028200
428,1050060701,1030028200,1050037601
429,1030068001,1030042901,1050037601
430,1030067901,1050037601,1030042901
431,1030067801,1030042901,1030042801
432,1030067701,1030042801,1030042901
433,1030067501,1030025500,1030042701
434,1030067601,1030042701,1030025500
435,1030067301,1030042701,1030042801
436,1030067401,1030042801,1030042701
437,1030067101,1030042801,1030042601
438,1030067201,1030042601,1030042801
439,1050060801,1050003000,1050037701
440,1050060901,1050037701,1050003000
441,1050061001,1050037701,1050002600
442,1050061101,1050002600,1050037701
443,1050061301,1050037801,1050037701
444,1050061201,1050037701,1050037801
445,1070079101,1070043601,1050005000
446,1050061501,1070043601,1050029100
447,1050061401,1050005000,1070043601
448,1050061601,1050029100,1070043601
449,1070079301,1070041700,1070043601
450,1070079201,1070043601,1070041700
451,1070078701,1070043501,1070014800
452,1070078801,1070014800,1070043501
453,1070079001,1070042000,1070043501
454,1070078901,1070043501,1070042000
455,1070078501,1070043401,1070043501
456,1070078601,1070043501,1070043401
457,1070078301,1070043401,1070013700
458,1070078401,1070013700,1070043401
459,1070078101,1070043301,1070043401
460,1070078201,1070043401,1070043301
461,1100173701,1090006500,1100085401
462,1100173801,1100085401,1090006500
463,1090047501,1090006700,1090022401
464,1090047601,1090022401,1090006700
465,1090047101,1090022401,1090022301
466,1090047201,1090022301,1090022401
467,1090047301,1090022401,1090005500
468,1090047401,1090005500,1090022401
469,1100173501,1100085401,1090022301
470,1100173601,1090022301,1100085401
471,1100173201,1100085401,1100083900
472,1100173301,1100083900,1100085401
473,1100173401,1090022301,1100083900
474,1090047001,1100083900,1090022301
475,1080038001,1080019300,1080019000
476,1080038101,1080019000,1080019300
477,1080037801,1080020201,1080019300
478,1080037901,1080019300,1080020201
479,1080038601,1080020501,1080020401
480,1080038701,1080020401,1080020501
481,1080038401,1080020401,1080020301
482,1080038501,1080020301,1080020401
483,1080038201,1080020301,1080020201
484,1080038301,1080020201,1080020301
485,1100175701,1100039900,1100084800
486,1100175801,1100084800,1100039900
487,1100174501,1100038300,1100085701
488,1100174601,1100085701,1100038300
489,1100174701,1100085701,1100038800
490,1100174801,1100038800,1100085701
491,1100174901,1100084700,1100085701
492,1100175001,1100085701,1100084700
493,1100175501,1100040800,1100085801
494,1100175601,1100085801,1100040800
495,1100175901,1100085801,1100039901
496,1100176001,1100039901,1100085801
497,1100175101,1100084600,1100039801
498,1100175201,1100039801,1100084600
499,1100175301,1100085801,1100084600
500,1100175401,1100084600,1100085801
501,1100176101,1100085901,1100085801
502,1100176201,1100085801,1100085901
503,1100176301,1100042000,1100085901
504,1100176401,1100085901,1100042000
505,1060069801,1060037501,1060001800
506,1060069701,1060001800,1060037501
507,1060068701,1060037501,1060037301
508,1060068801,1060037301,1060037501
509,1060069301,1060037601,1060019100
510,1060069401,1060019100,1060037601
511,1060069601,1060037601,1060037501
512,1060069501,1060037501,1060037601
513,1060070201,1060037601,1060037801
514,1060070101,1060037801,1060037601
515,1060070001,1060037801,1060022000
516,1060069901,1060022000,1060037801
517,1060070701,1060035800,1060037901
