,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_slow
202,KP001812,180929,3790,160,6509.0,14,19.18373626373629
203,KP002351,180929,3790,50,13425.0,12,11.982857142857153
204,KP000735,180929,3790,143,31712.0,13,21.185934065934067
205,KP000733,180929,3790,329,6330.0,9,9.231098901098894
206,KP002349,180929,3790,303,21792.0,25,23.347142857142828
207,KP003608,180929,3790,18,16479.0,7,10.541204395604408
208,KP002971,180929,3790,93,12296.0,9,12.96885714285716
209,KP000730,180929,3790,50,41553.0,5,30.22725274725277
210,KP003193,180929,3790,261,30057.0,19,6.582644688644689
211,KP002624,117595,550,138,33558.0,6,14.093956043956036
212,KP000529,180929,3790,307,30057.0,13,8.794857142857143
213,KP000941,180929,3790,158,14397.0,12,24.7448021978022
214,KP001282,180929,3790,47,13425.0,13,5.450476190476189
215,KP004049,180929,3790,259,6330.0,6,7.386912087912091
216,KP002882,180929,3790,175,41553.0,11,6.495714285714284
217,KP000729,180929,3790,104,29951.0,20,4.2489010989011
218,KP000943,180929,3790,17,13425.0,6,11.384692307692308
219,KP001283,180929,3790,7,13425.0,9,7.121465201465206
220,KP002348,180929,3790,41,13425.0,2,0.4065934065934066
221,KP001281,180929,3790,98,29951.0,22,0.0317582417582417
222,KP002877,180929,3790,139,10697.0,9,0.1894505494505494
223,KP000939,180929,3790,130,14397.0,19,1.6597692307692309
224,KP000325,170244,3546,265,41407.0,10,3.1210549450549463
225,KP000788,168219,662,64,64169.0,13,5.775318681318681
226,KP001849,168219,662,24,11834.0,10,13.260879120879109
227,KP002725,168219,662,36,16766.0,9,25.45329670329669
228,SF002031,168219,662,42,13132.0,7,20.381208791208778
229,KP002430,168219,662,185,4856.0,20,27.544549450549468
230,KP000978,185712,757,501,57959.0,8,17.256703296703286
231,KP000980,185712,757,266,17736.0,21,27.761428571428585
232,KP000012,185712,757,84,65747.0,1,0.6511062271062272
233,KP000785,185712,757,258,19313.0,6,14.94137362637362
234,KP000578,168219,662,288,15698.0,9,18.125725274725283
235,KP000580,185712,757,275,11237.0,24,13.907758241758252
236,KP002690,185712,757,381,17736.0,16,11.952967032967036
237,KP000979,185712,757,153,23622.0,10,4.451098901098904
238,KP002961,168219,662,155,15698.0,12,10.31861538461539
239,SF001865,185712,757,16,61327.0,4,22.2833076923077
